interaction_id,user_id,product_id,action,timestamp,name,age,gender,location,product_name,category,price,seller_id,transaction_id,quantity,purchase_time
I1,U583,P196,view,10-05-24,User583,21,Female,Coimbatore,Clothing_Product_196,Clothing,4068,S42,,,
I2,U808,P54,cart,06-09-24,User808,18,Female,Kolkata,Clothing_Product_54,Clothing,217,S45,,,
I3,U273,P185,cart,29-10-24,User273,21,Female,Chennai,Footwear_Product_185,Footwear,382,S2,,,
I4,U555,P3,purchase,17-12-24,User555,24,Female,Chennai,Accessories_Product_3,Accessories,4522,S15,T1,2,10-09-24
I5,U239,P89,purchase,12-12-24,User239,25,Female,Hyderabad,Footwear_Product_89,Footwear,376,S27,T2,3,24-11-24
I6,U191,P162,view,31-05-24,User191,21,Female,Madurai,Sports_Product_162,Sports,3657,S33,,,
I7,U195,P78,purchase,27-10-24,User195,33,Female,Trichy,Electronics_Product_78,Electronics,482,S31,T3,1,25-07-24
I8,U681,P45,cart,07-10-24,User681,40,Female,Bangalore,Electronics_Product_45,Electronics,3795,S43,,,
I9,U111,P200,purchase,23-09-24,User111,44,Female,Pune,Footwear_Product_200,Footwear,4211,S47,T4,1,28-08-24
I10,U316,P181,view,30-10-24,User316,36,Female,Delhi,Home_Product_181,Home,1581,S33,,,
I11,U13,P198,view,03-10-24,User13,45,Male,Kolkata,Footwear_Product_198,Footwear,4408,S23,,,
I12,U362,P118,purchase,03-12-24,User362,35,Male,Kolkata,Electronics_Product_118,Electronics,4398,S9,T5,3,14-10-24
I13,U437,P15,view,05-07-24,User437,36,Male,Madurai,Accessories_Product_15,Accessories,3586,S32,,,
I14,U425,P89,cart,02-10-24,User425,35,Female,Coimbatore,Clothing_Product_89,Clothing,429,S15,,,
I15,U182,P141,purchase,02-04-24,User182,45,Male,Madurai,Home_Product_141,Home,2291,S3,T6,3,06-02-24
I16,U889,P5,view,08-01-24,User889,42,Female,Mumbai,Accessories_Product_5,Accessories,2400,S8,,,
I17,U190,P89,purchase,05-02-24,User190,23,Male,Hyderabad,Electronics_Product_89,Electronics,4520,S11,T7,3,19-05-24
I18,U729,P76,purchase,25-12-24,User729,28,Female,Coimbatore,Accessories_Product_76,Accessories,1135,S2,T8,2,16-07-24
I19,U432,P49,cart,25-02-24,User432,26,Male,Trichy,Electronics_Product_49,Electronics,3736,S2,,,
I20,U19,P102,view,19-01-24,User19,41,Male,Coimbatore,Footwear_Product_102,Footwear,4347,S44,,,
I21,U558,P57,cart,21-12-24,User558,34,Female,Mumbai,Sports_Product_57,Sports,4491,S42,,,
I22,U405,P173,view,13-06-24,User405,39,Female,Chennai,Home_Product_173,Home,2646,S9,,,
I23,U897,P13,view,06-02-24,User897,45,Male,Hyderabad,Electronics_Product_13,Electronics,2640,S48,,,
I24,U427,P145,view,07-03-24,User427,18,Male,Trichy,Electronics_Product_145,Electronics,1982,S37,,,
I25,U176,P200,cart,14-11-24,User176,34,Male,Kolkata,Sports_Product_200,Sports,1841,S23,,,
I26,U211,P147,view,09-08-24,User211,36,Male,Coimbatore,Sports_Product_147,Sports,1055,S43,,,
I27,U304,P130,cart,09-01-24,User304,28,Female,Hyderabad,Accessories_Product_130,Accessories,348,S11,,,
I28,U879,P84,view,10-03-24,User879,28,Female,Mumbai,Home_Product_84,Home,2383,S44,,,
I29,U858,P98,view,25-06-24,User858,44,Female,Madurai,Home_Product_98,Home,2122,S5,,,
I30,U42,P22,purchase,27-03-24,User42,23,Male,Hyderabad,Footwear_Product_22,Footwear,2921,S39,T9,3,10-05-24
I31,U347,P88,cart,29-05-24,User347,25,Female,Delhi,Clothing_Product_88,Clothing,4951,S36,,,
I32,U329,P11,view,07-02-24,User329,30,Male,Delhi,Accessories_Product_11,Accessories,2992,S8,,,
I33,U602,P97,purchase,19-10-24,User602,35,Male,Trichy,Clothing_Product_97,Clothing,869,S18,T10,2,31-05-24
I34,U548,P30,purchase,21-05-24,User548,21,Male,Hyderabad,Accessories_Product_30,Accessories,301,S40,T11,3,08-01-24
I35,U424,P30,view,06-04-24,User424,25,Female,Delhi,Clothing_Product_30,Clothing,1146,S29,,,
I36,U698,P62,view,22-02-24,User698,31,Female,Madurai,Footwear_Product_62,Footwear,2608,S36,,,
I37,U729,P123,cart,21-02-24,User729,24,Female,Chennai,Electronics_Product_123,Electronics,423,S1,,,
I38,U744,P153,cart,18-08-24,User744,30,Female,Kolkata,Electronics_Product_153,Electronics,715,S5,,,
I39,U994,P154,cart,27-02-24,User994,26,Male,Trichy,Accessories_Product_154,Accessories,4647,S45,,,
I40,U678,P92,cart,03-04-24,User678,35,Male,Hyderabad,Electronics_Product_92,Electronics,1831,S16,,,
I41,U84,P72,cart,17-08-24,User84,20,Female,Mumbai,Clothing_Product_72,Clothing,3398,S20,,,
I42,U336,P48,view,23-10-24,User336,27,Male,Pune,Electronics_Product_48,Electronics,1026,S35,,,
I43,U593,P153,purchase,05-05-24,User593,25,Male,Mumbai,Clothing_Product_153,Clothing,3491,S5,T12,2,09-10-24
I44,U747,P20,view,21-11-24,User747,18,Female,Pune,Clothing_Product_20,Clothing,4240,S31,,,
